sentence,negativity,neutrality,positivity,compound
At this time i've confirmed that this is a scam ,0.316,0.684,0.0,-0.5719
Pretty smart of them to give pal a taste of the money first then asked for your money ,0.0,0.718,0.282,0.7096
Not sure if this is useful but here are the telegram username of members of the telegram grp: grip name sums sums team 1) alice liew: @aliceeee97 2) moomnchloe: @chloee_ly 3) joyce @janice1990lim 4) limb @lnelsonlim 5) joey wong no telegram username 6) adelyn: @adelyn1997 7) andrew no telegram username 8) rosnita no telegram username 9) weiwei: @weiwei70 10) mood hakim: @mohdhakim92 11) alan @alan9011 12) jonathan wong @jonathan1wong 13) joanna @joanna1211 ,0.121,0.808,0.071,-0.4733
"Got a call from someone claiming to be my friend raymond Tan"", calling from this number (8193 5672) with no + and the person knew my name ",0.076,0.765,0.159,0.3346
He claimed to be my long time friend but i got no recollection ,0.188,0.671,0.141,-0.1779
He say he will send me his picture and i do not have his whatapps either ,0.0,1.0,0.0,0.0
this is the 5-7 times he called and pretend to be another person and he know my name and contact number ,0.065,0.876,0.06,-0.0258
last time he say he open a shop in bedok. ,0.0,1.0,0.0,0.0
and he sound is 100% malaysian ,0.0,1.0,0.0,0.0
can hear from the accent ,0.0,1.0,0.0,0.0
I posted his another number to scam shield and block him ,0.443,0.47,0.087,-0.743
and he can still get another number to call ,0.0,0.86,0.14,0.0772
and tried to use the same trick on me again but it didn't work ,0.078,0.922,0.0,-0.0258
"Similar story as https://www.scamalert.sg/stories-details/Story-30Sep2022165317PM#:~:text=1)%20I%20received%20a%20Whatsapp,tasks%20and%20will%20be%20paid. ",0.0,1.0,0.0,0.0
I've received job offer stating that they are recruiting firm ,0.0,1.0,0.0,0.0
The email didn't look entirely professional but I decided to give it a go and responded to the email ,0.0,1.0,0.0,0.0
They asked for my age and phone number ,0.0,0.843,0.157,0.0772
I was skeptical and REPLIED anyway that I could be contacted via telegram ,0.187,0.813,0.0,-0.3182
they asked for my choice of being contacted After that they contacted me via WhatsApp despite my request of using telegram ,0.0,1.0,0.0,0.0
The person named Lianne. ,0.0,1.0,0.0,0.0
next they sent an automatic message asking about what job I prefer to have ,0.0,1.0,0.0,0.0
I was able to select either full time or part time ,0.0,1.0,0.0,0.0
Then the next question was about asking me if I have tiktok account ,0.0,1.0,0.0,0.0
It is already a signal that this is not an agency company from the first 2 questions despite the good looking website shown in EMAIL http://www.wisenetasia.cn/ The last observation I had was when I pressed into the WhatsApp business profile of this contact it showed in description that 'she' is representative of An India food distributor ,0.045,0.955,0.0,-0.3412
I went to check the website ,0.0,1.0,0.0,0.0
It is some random india website ,0.0,1.0,0.0,0.0
All these observations again does not link up ,0.0,1.0,0.0,0.0
In this case I think my private number and email is already sold FURTHER.. ,0.0,0.902,0.098,0.0772
I received a Whatsapp message asking if i am keen to work part-time. ,0.0,0.783,0.217,0.3612
Objective is to click on authentic lazada links and add the item to my wishlist. ,0.0,1.0,0.0,0.0
"Upon joining i was invited to join a telegram group welfare group 68 In this group they send missions (10 am to 4 pm, break 1 hours 5 am to 10 pm) they are about 25 missions in total per day ",0.0,0.941,0.059,0.296
22 of which looked like authentic lazarda links to their merchandise ,0.0,0.8,0.2,0.3612
3 of these missions are known as prepaid task salary ,0.0,1.0,0.0,0.0
You are needed to contact the business manager to get the instructions ,0.0,1.0,0.0,0.0
"A ""tutor"" will guide you through ",0.0,1.0,0.0,0.0
He goes by the name tutor kai ,0.0,1.0,0.0,0.0
He gives the instructions to 3/10/2022 monday I went on 2 of these prepaid tasks and they paid me accodringly. ,0.0,1.0,0.0,0.0
Each of these tasks requires you to transfer a certain amount of money first before they can complete the project ,0.0,0.896,0.104,0.2732
On the ord task they asked me to take up a task for $8888 with almost 2 or $3k returns ,0.0,1.0,0.0,0.0
I rejected ,1.0,0.0,0.0,-0.5106
They tried to persuaded me and even offer to lend me money to do it ,0.0,1.0,0.0,0.0
I rejected ,1.0,0.0,0.0,-0.5106
My total lost $2188 ,0.434,0.566,0.0,-0.3182
"Instead of the usual +65 for the scam calls I had recently received a scam call from oh saying we have tried to contact you regarding your vaccination status but to no avail press 1 for....etc"" and it is from this LOCAL number 81471238 without +65) in front ",0.15,0.821,0.029,-0.7227
fbi ,0.0,1.0,0.0,0.0
I was contacted on Telegram by a random stranger asking me if I wanted to try a review job ,0.0,1.0,0.0,0.0
She claimed that the job was easy and I could earn $110 or more daily ,0.0,0.818,0.182,0.4404
The same usual tactics I then received a Whatsapp mug and she linked me to a website ,0.0,1.0,0.0,0.0
Was guided to register use fake name and contact number as no top needed it's a very simple website which will generate random hotels for you to rate just give it a 5 star and you get paid per ratings ,0.128,0.797,0.075,-0.4939
I did 30 ratings and earned $11 on my account ,0.0,1.0,0.0,0.0
The minimum withdrawal was $10 so she guided me to withdrawal the $11 to my paynow. ,0.0,0.864,0.136,0.0516
She then added me into a telegram group whereby every member were sharing their success stories learning $200+ coz only have 1 hour today $500+ coz tired after rating for 2 hours... ,0.082,0.734,0.184,0.5574
etc and raving to continue topping up their experience gold ,0.0,1.0,0.0,0.0
She then told me that i have to topup my experience gold in order to continue rating hotels and earning money ,0.0,1.0,0.0,0.0
It'll be $111. ,0.0,1.0,0.0,0.0
I ask her why and she told me it's to ensure the authenticity of consumption data and generate effective traffic to increase turnover and visibility of hotels ... ,0.0,0.75,0.25,0.7906
Which I don't understand what she meant ,0.0,1.0,0.0,0.0
She then said it's to ensure that it's not robots doing the ratings ,0.0,0.822,0.178,0.3818
anyway I turned down the offer and she backed off ,0.0,0.879,0.121,0.0258
The website I registered was quickly taken down the next day ,0.0,1.0,0.0,0.0
They texted me to say would like me to join a Telegram group . ,0.0,0.68,0.32,0.5719
Every day will be given 25 tasks ,0.0,1.0,0.0,0.0
Basically most of the tasks are liking particular Instagram acts that they requested ,0.0,0.816,0.184,0.4019
then there will be a few prepaid tasks ,0.0,1.0,0.0,0.0
In short they will ask you to transfer the money to their accounts then they will give you a 30% comm ,0.0,1.0,0.0,0.0
If you do the prepaid tasks per Instagram account you follow will be paid $5 instead of $2. ,0.0,1.0,0.0,0.0
This guy called and claimed to be my sec such friend ,0.0,0.758,0.242,0.4939
He said he lost his phone during lunch and this is his new number and asked me to update his contact details.Called me the next day and asked if i know how to update bank on his new number for otp. ,0.055,0.883,0.062,-0.1779
After that asked me to lend him money to pay contractor for his house ceiling works cause he only free to head down to bank after getting logged out online ,0.043,0.856,0.101,0.4404
I didn't lend him any ,0.0,1.0,0.0,0.0
Called my friend later and verified that it's not him ,0.0,0.738,0.262,0.4939
Person added me on ig then moved to whatsapp ,0.0,1.0,0.0,0.0
Chat was going well until she asked me to help her with LUISAVIAROMA job ,0.0,0.714,0.286,0.5859
basically she will give a Whatsapp business account ,0.0,1.0,0.0,0.0
then there will be a link ,0.0,1.0,0.0,0.0
print screen of the item and cost Paynow to the person account ,0.0,1.0,0.0,0.0
10 mins later will get refund and 5% commission ,0.0,1.0,0.0,0.0
i hesitate and ask her to pay the $105 first ,0.333,0.667,0.0,-0.3612
10 mins later i receive $119 to my paynow account ,0.0,1.0,0.0,0.0
I told her its a scam as it happened before and i told her I would report her to the police ,0.188,0.812,0.0,-0.5719
+65 8713 6131 emma claiming to be from 'Omnicom Media Group asia pacific pte. ,0.0,1.0,0.0,0.0
Ltd) contacted me via whatsapp regarding a job offer ,0.0,1.0,0.0,0.0
Claiming to earn sgd110-sgd550 per day for just following and liking Instagram accounts ,0.0,0.816,0.184,0.4019
Suspect that they got my contact from job recruitment website / career portals ,0.167,0.833,0.0,-0.296
They told me to get on telegram to contact receptionist_kelly01 +65 8190 3899 to get paid ,0.0,1.0,0.0,0.0
They want more info about me and told me they will pay me after I was added to the group after I gave my details ,0.059,0.886,0.055,-0.0258
Nothing was lost except my time ,0.0,0.718,0.282,0.2411
Similar experience as https://www.scamalert.sg/stories-details/story-29sep2022150737pm 1) I received a Whatsapp message from +65 8351 2981 named 'Maggie'. ,0.0,1.0,0.0,0.0
She said she's from 'asmedia ate ltd' and it's a social media hype job ,0.0,1.0,0.0,0.0
All I needed to do is to follow the tiktok accounts given in the tasks and will be paid ,0.0,1.0,0.0,0.0
2) I was referred to another person on telegram - receptionist-hata. ,0.0,1.0,0.0,0.0
hate added me to a mission group chat and post 25 missions in a day ,0.236,0.764,0.0,-0.5719
She's also incharge of paying me for every few missions i completed ,0.0,1.0,0.0,0.0
In between these missions there are prepaid tasks where money is involved ,0.0,1.0,0.0,0.0
I did not start the prepaid missions on the first day as i still find it suss ,0.0,1.0,0.0,0.0
But hate did ask me why did i not join ,0.513,0.487,0.0,-0.8117
"Second day hate asked to join for newcomer package with a smaller amount $38 and cashback with 58, i did and got back my money ",0.138,0.781,0.082,-0.3612
Going forward amount is flexible ,0.0,0.678,0.322,0.2263
But afterwards there another mission this time round hate asked not to go for the newcomer package as its only use for once and the next amount is 188 which is way too suss ,0.133,0.867,0.0,-0.7227
3) i exited the group chat reported and blocked their accounts ,0.189,0.811,0.0,-0.2732
Picked up a call with local number without +65 prefix ,0.0,0.86,0.14,0.0772
The number used was 81943749 The person never gave his name ,0.0,0.885,0.115,0.0772
He said i change handphone number so calling to let you know ,0.0,0.885,0.115,0.0772
me hello who is this caller hey my name I just wanted to update you I changed my number me huh who is this caller you don't recognise me Ah me huh who is this ,0.0,0.961,0.039,0.0772
No I don’t. ,0.688,0.312,0.0,-0.296
caller Wah I always eat lunch with you at my residential area]. ,0.0,1.0,0.0,0.0
"me i don't know who you are caller wah nom nvm, i will whatsapp you me ok ",0.0,0.864,0.136,0.296
Fellow citizens please beware ,0.0,0.566,0.434,0.3182
These are the sequence of events that happened 1) I received a WhatsApp message from +65 8411 2853 named Clerisse. ,0.0,1.0,0.0,0.0
She said she's from Heroes of Digital and running different marketing campaigns to promote social media visibility of Instagram by following ,0.0,0.763,0.237,0.7096
All i need to do is to follow the Instagram accounts given in the tasks and will be paid ,0.0,1.0,0.0,0.0
2) I was referred to another person on Telegram - ReceptionistKelly01. ,0.0,1.0,0.0,0.0
Kelly01 added me to a mission group chat and post 25 missions in a day ,0.0,1.0,0.0,0.0
She's also incharge of paying me for every few missions i completed ,0.0,1.0,0.0,0.0
In between these missions there are prepaid tasks where money is involved ,0.0,1.0,0.0,0.0
First few times they ask for a small amount and promised money back with minutes I did get my money back ,0.0,0.878,0.122,0.3612
"By the third time they asked for initial money of $300, once money is transferred they asked for more if I didn't put in the money I'll not be able to get what I initially put in ",0.0,1.0,0.0,0.0
3) After I refused to obliged the group chats all were either disabled or deleted ,0.145,0.855,0.0,-0.296
Got a call from someone claiming to be my friend Alvin tank calling from this number (8193 5672) with no + and the person knew my name ,0.076,0.765,0.159,0.3346
He claimed to be my long time friend but i got no recollection ,0.188,0.671,0.141,-0.1779
He asked to add his number to phonebook i whatsapp asked to meet up when free ,0.0,0.739,0.261,0.5574
Next day he called and said he asked whether i am familiar with des account ,0.0,1.0,0.0,0.0
He said he is facing problem logging in as he lost his phone ,0.312,0.688,0.0,-0.6124
I was wary of what he said and told him he should go to the branch to ask instead of asking me and i blocked his number after that as it raises lot of red flags ,0.059,0.904,0.037,-0.2023
Then i googled and found similar scam methods reported as well ,0.268,0.58,0.152,-0.3818
"Job scam claiming to be from company called heroes of digital"". ",0.231,0.562,0.206,-0.1027
Used telegram to ask users to follow Instagram accounts and get paid ,0.0,1.0,0.0,0.0
Asked to open crypto currency account and get paid ,0.0,1.0,0.0,0.0
No money was lost but bank account number info and email address ,0.237,0.657,0.106,-0.2023
I wanted to take a loan of 40k. ,0.0,1.0,0.0,0.0
"They claimed to be from ""s.e. ",0.0,1.0,0.0,0.0
"Investments ate ltd"", which is a legitimate company MinLaw registered-list of moneylenders ",0.0,1.0,0.0,0.0
Before they could “release” the loan to me they said I needed to pay an active account charge and another charge which total to $3500 each (7000sgd both). ,0.048,0.859,0.093,0.3182
"After paying both charges they took an hour to forge a document that has MAS logo saying that the money is held by MAS and I needed to pay another $11,600 for the release of the loan money ",0.093,0.907,0.0,-0.3612
that's when I realised they were never going to offer a loan at a decent interest rate ,0.0,0.812,0.188,0.4588
They also approved of the loan over whatsapp ,0.0,0.714,0.286,0.4215
Loans will never be approved like that ,0.47,0.53,0.0,-0.5334
Someone called my and identified me by MY name ,0.0,1.0,0.0,0.0
"She started off by sharing her name was ""Nicole"". ",0.0,0.741,0.259,0.4215
Then she said that she last her phone last all her contact and this is her new number ,0.0,0.929,0.071,0.0772
"She then asks if I remember her trying to ""fish"" for information after some chat she drops the call ",0.0,1.0,0.0,0.0
"One day later she called and said that she needed to pay someone and needs to loan $1,000 and promised to return by 4 am on the same day ",0.047,0.87,0.084,0.2732
I negotiated to 100SGD to loan her ,0.0,1.0,0.0,0.0
She then said that she will text me how to transfer the money ,0.0,1.0,0.0,0.0
She then text me a paynow number with a different number then her calling number ,0.0,0.719,0.281,0.2263
she called me again 3-4 times of course I did not bother to pick up the call ,0.0,0.88,0.12,0.2584
After 30 mins I texted her this message are you in trouble ,0.213,0.787,0.0,-0.4019
do you need to call the police ,0.0,1.0,0.0,0.0
you numbers are different which makes me think that you are in trouble and should get help from the police ! ,0.115,0.769,0.115,0.0
"my son is a officer in the police force do you need me to call him for you ?"" ",0.0,1.0,0.0,0.0
and she never called again ,0.0,1.0,0.0,0.0
Caller knew my name and claimed to be a friend ,0.0,0.714,0.286,0.4939
Asked me to save his number so he can contact me via whatsapp ,0.0,0.71,0.29,0.5423
and time receiving this type of calls so just put the phone down ,0.0,1.0,0.0,0.0
"Online friend who asked me to take orders from ""Chanel"" turned out to be a scammers ",0.0,0.814,0.186,0.4939
"Someone called Cathy (方云）, @deshekta suddenly followed me on IG and messaged me ",0.0,1.0,0.0,0.0
We exchanged some pleasantries and exchanged contact om whatsapp ,0.0,0.777,0.223,0.3182
"""she"" claimed that she is grew up in Malaysia but have moved over to singapore with her family but their relationship is bad ",0.178,0.822,0.0,-0.6956
She has been working in singapore for 10years And that she apparently has a part-time job that she does at night at home which was about tallying accounts which i didn't think much of ,0.0,1.0,0.0,0.0
We asked about each other and exchanged greetings and talk to each other she claimed to stay with her close friend because of her poor relationship with her family and was looking for someone to be in a deep relationship with ,0.067,0.803,0.13,0.4404
After a few days she even took photos of her surroundings to show her whipping up some dishes at home ,0.0,1.0,0.0,0.0
Being the evergreen single lonely person i fell for the bait ,0.217,0.783,0.0,-0.3612
She first asked for 50cents and say some cheeky line like us being a dollar(together in chinese). ,0.0,0.857,0.143,0.3612
And when you dont send her she guilt trip you that you do not like her enough to trust her ,0.172,0.694,0.135,0.0232
She then talk about her sad past heartbreak and say that she was just testing you and to trust her ,0.251,0.627,0.122,-0.5423
Shortly after another round of pretending to be interested she agreed to be together with one rule to trust her ,0.0,0.627,0.373,0.8176
then she asked if i am interested in helping her with her part time job as she was sick ,0.142,0.647,0.211,0.1531
I agreed since she voice messaged and asked for help ,0.0,0.593,0.407,0.5859
"Turns out she gave me a number to ""Chanel"" and told me to message them to say that i'm helping her ",0.0,0.837,0.163,0.3612
The message i got told me to take a screenshot of a chanel product then to transfer $100 to their account ,0.0,1.0,0.0,0.0
She then said that once I transfer the money over they will transfer back $115. ,0.0,1.0,0.0,0.0
She just said to trust her which made me not trust her ,0.0,0.602,0.398,0.765
She then started insulting me saying this is why I will stay single and not deserved to be loved ,0.139,0.693,0.169,0.1779
My story is exceedingly similar to this other two i saw on the website https://www.scamalert.sg/stories-details/story-06aug2022235435pm https://www.scamalert.sg/stories-details/Story-12Aug2022063001AM ,0.0,1.0,0.0,0.0
"The conversations usually started off from a match on a dating app such tinder CMB, or others ",0.0,1.0,0.0,0.0
they would ask you to exchange phone numbers and start conversing over whatsapp ,0.0,1.0,0.0,0.0
they usually say they are Malaysian or Chinese national working in singapore ,0.0,1.0,0.0,0.0
then they will tell you they work as an accountant as a consultant or whatsoever ,0.0,1.0,0.0,0.0
But that is their so called first job to trap you - they will play the pity card to say after that they have a second job ,0.186,0.713,0.1,-0.3919
Waiting for you to take the bait and ask them what the job is about ,0.0,1.0,0.0,0.0
it seems to be some affiliate program that requires you to send messages to other people's social media accounts or phone numbers ,0.0,1.0,0.0,0.0
if you don't do it they will just keep harassing you ,0.259,0.741,0.0,-0.5423
I didn't follow through as I called their bluff and they realised since then they stopped chatting with me ,0.106,0.894,0.0,-0.2263
Sharing this information so others don't fall prey ,0.0,0.714,0.286,0.4215
"Automated voice message from +6583052349 pretending that they are calling from Ministry of Health (MOH), that they have been unsuccessfully trying to contact in regards to vaccination status ",0.09,0.864,0.047,-0.3182
"Ask to press ""1"" for English and 2 For chinese transferred to someone with a strong Chinese-accent despite me selecting for english ",0.0,0.852,0.148,0.5106
I was confused and revealed no information in which she hung up on me ,0.29,0.71,0.0,-0.5423
Beware of this number +6583052349. ,0.0,0.744,0.256,0.0964
Only 12 sept 2022 Contacted via Whatsapp by a person called windy to say the job description is just to click on a button to rate apps ,0.0,1.0,0.0,0.0
I needed to reach 40 ratings to get commission ,0.0,0.864,0.136,0.0258
But I need to secure my position with a small investment of only $200.00 i 1 40=$Sg280.00. ,0.0,0.795,0.205,0.4767
However before I could reach 40 ratings the system reported that i don't have enough credit to continue and I need to top up to continue in order to get my commisions. ,0.07,0.836,0.093,-0.0731
It went on till the money they ASKED for got too big ,0.0,1.0,0.0,0.0
I realised too late it was a scam after I have invested over SGd$27000.00 I made a police report on 24th Sept.2022 ,0.188,0.812,0.0,-0.5719
"Another scammer called on 22 sep 2022, a Chinese-Malaysian accent told me that he has lost his phone and asked me to remember his new phone number ",0.083,0.87,0.047,-0.25
I thought he was a contractor whom I knew ,0.0,1.0,0.0,0.0
He called me and asked me how to change his mobile update with the bank and kept saying bank needed top and he didn't remember ,0.0,0.93,0.07,0.2023
He said he isn't familiar with online banking or how to set his settings so I used the website info and guided him ,0.0,1.0,0.0,0.0
Next he told me that his bank account got locked and he cannot withdraw his money and asked if i could help him make payment to supplier I replied not ,0.0,0.909,0.091,0.4019
so he hung up ,0.0,1.0,0.0,0.0
Beware peeps it seems quite common pattern using this scam ,0.327,0.673,0.0,-0.657
"similar to another case here i am a victim An agent contacted me through whatsapp don't even know my name but say want to offer me a job they claim to be from GRABJOBS.MY, and that their main purpose is to help apps raise the Review star rating in the app store ",0.029,0.875,0.095,0.5346
"Asked me to register on a website www.sailpoint-Agency.com , but all they ask me to do is just click a button 42 times and then apparently that's supposed to send in a review to the app store automatically ",0.0,1.0,0.0,0.0
"Also noticed in the website it says ""usdt"" which is a cryptocurrency and apparently every account has a certain amount of usdt, so with every 'click' you do the amount is reduced and once it reached too low you have to top up with real money in order to keep clicking ",0.04,0.859,0.101,0.296
"They claim you can withdraw this in the end but this is likely the same pattern of telling you to transfer them 50 dollars then they return you 100, then they ask you to repeat the process until the amount you transfer is big enough and you won't get your money back anymore ",0.0,1.0,0.0,0.0
1. ,0.0,1.0,0.0,0.0
Call at evening time (21/09) and asked me do i know who is he and i mentioned a name and he claimed he is the one ,0.0,1.0,0.0,0.0
2. ,0.0,1.0,0.0,0.0
He told me to delete old phone and replaced this new number 81794073.3. ,0.0,0.902,0.098,0.0772
On 22/09 morning i have received 5 times incoming call from him and he told me that do i know how to unlock onetime top for job account ,0.0,0.93,0.07,0.2023
4. ,0.0,1.0,0.0,0.0
I told him no and change another topic that his phone has security lock and unable to contact the bank ,0.102,0.787,0.111,0.0516
5. ,0.0,1.0,0.0,0.0
He told me to loan him balance so 4800 but I told him no money and he asked me to borrow from colleagues ,0.118,0.882,0.0,-0.4215
6. ,0.0,1.0,0.0,0.0
I told him my colleague won't borrow money &amp; etc...7. ,0.0,1.0,0.0,0.0
Later on he told me says will contact me later but I blocked his phone number ,0.155,0.76,0.085,-0.296
I received an email in my personal inbox stating that I have been selected to receive cash compensation from the international monetary fund (IMF). ,0.0,1.0,0.0,0.0
There was a link asking me to check my eligibility to receive cash compensation ,0.0,1.0,0.0,0.0
Thank god I have thought carefully that nothing comes so easy in this world and always be cautious and not be lured by such tempting offer ,0.045,0.64,0.315,0.8147
I decided to ignore this email and took screenshot of it before I put it in my mail trash ,0.135,0.865,0.0,-0.3612
I want to share this incident to create awareness and alert to public and be more extra careful ,0.0,0.554,0.446,0.7703
Like I mentioned nothing comes easy in this world ,0.221,0.55,0.229,0.0243
"Contacted me through whatsapp don't even know my name but say want to offer me a job they claim to be from “Singsys, and that their main purpose is to help apps raise the star rating in the app store ",0.0,0.881,0.119,0.6124
"Asked me to register on a website www.singsys-mobile.com , but all they ask me to do is just click a button 40 times and then apparently that's supposed to send in a review to the app store automatically.Felt that this was suspicious from there on because if the process is so automated it shouldn't need a human being to manually clicks they could just make a program to automate it.Also noticed in the website it says ""usdt"" which is a cryptocurrency and apparently every account has a certain amount of usdt, so with every 'click' you do the amount is reduced and once it reached too low you have to top up with real money in order to keep clicking ",0.049,0.897,0.054,-0.1154
"They claim you can withdraw this in the end but this is likely the same pattern of telling you to transfer them 50 dollars then they return you 100, then they ask you to repeat the process until the amount you transfer is big enough and you won't get your money back anymore ",0.0,1.0,0.0,0.0
The scammer himself says his name is allen 27 years old his phone number is 8196 19? ,0.0,0.925,0.075,0.0772
?. ,0.0,1.0,0.0,0.0
"We are offering a variety of Permanent / Part-time / freelance jobs online Airline Assistance Rating airline to increase airlines popularity and reviews rate various airlines and leave quality airlines for travelers from all over the world Requirement age 21 and above Aeroclass, is an online airline ticket rating system that does not require you to book a ticket ",0.02,0.853,0.127,0.7506
Its purpose is to help airline ratings contribute to the size of airline turnover and competitive strength in the market our job is mainly to help promote and advertise major airline reviews we just need to create data on the online airline rating system to help increase the visibility and turnover of airlines ,0.0,0.692,0.308,0.9517
This job is done from home mainly promoting social celebrities while we get paid for them and you can also develop your own team to join us and your own team will need to be managed by you ,0.0,0.885,0.115,0.5719
Average monthly income 5000-8000sgd. ,0.0,1.0,0.0,0.0
"I wanted to take a loan of 10,000. ",0.0,1.0,0.0,0.0
They posed as s.e. ,0.0,1.0,0.0,0.0
"Investments ate led (they’re not from there), which is a legitimate company under the mas registered list of moneylenders ",0.0,1.0,0.0,0.0
"Before they could “release” the loan to me they said i needed to pay an active account charge and another charge which totals to 1,500 sad each (3,000 sad both). ",0.215,0.708,0.076,-0.5994
"After paying both charges they took an hour to forge a document that has an mas logo saying that the money is held by mas and i needed to pay another 3,000 sad for the release of the loan money ",0.159,0.841,0.0,-0.6808
that's when i realised they were never going to offer a loan at a decent interest rate ,0.0,0.812,0.188,0.4588
They also approved of the loan over whatsapp ,0.0,0.714,0.286,0.4215
Loans will never be approved like that ,0.47,0.53,0.0,-0.5334
Random WhatsApp text message citing easy job.Job requires me to perform a task each completed task will earn me $15. ,0.0,0.861,0.139,0.4404
"I was supposed to go into my Instagram and follow accounts such as @visit_singapore, or etc ",0.0,1.0,0.0,0.0
"I received a job offer from ""ATEAM studios +60176827138 The job is simple - Following and liking Tiktok users to earn $5. ",0.0,0.87,0.13,0.4019
I was told to download Tiktok and telegram ,0.0,1.0,0.0,0.0
My initial thoughts are this has got to be a scam ,0.291,0.709,0.0,-0.5719
Cut the story short I completed the first 4 tasks first $9 was transferred via paynow after completing 3 task and last task $16 for a newcomer bonus ,0.076,0.797,0.127,0.34
Got $25 but I felt very skeptical with all the dodgy processes that they were doing ,0.306,0.694,0.0,-0.6946
"They are portray as ""ateam studios by sending an aura picture with a men not ",0.0,1.0,0.0,0.0
OF the company ,0.0,1.0,0.0,0.0
"I believe ""ATEAM"" studios are not part of the SCAM but being used by scammers to create credibility ",0.133,0.737,0.13,-0.0172
Editor's note We do not encourage users to take up unsolicited job offers knowing that they are scams ,0.289,0.711,0.0,-0.7581
Scammers will pay victims at the beginning to create legitimacy however money that victims get are in fact dirty money that scammers got from other victims ,0.336,0.601,0.063,-0.7964
You are encouraged to file a police report online at https://eservices.police.gov.sg/content/policehubhome/homepage/police-report.html or at the nearest police station if you have received money from scammers ,0.0,0.898,0.102,0.3612
I was approached via whatsapp on this job by ‘Sophia’. ,0.0,1.0,0.0,0.0
After that I was asked to add receptionist name Nana on Telegram and she added us to a work group ,0.0,1.0,0.0,0.0
The photo of the receptionist looked shady ,0.0,1.0,0.0,0.0
Was completing missions and I received money but things kind of goes wrong ,0.274,0.726,0.0,-0.631
They talked about cryptocurrencies with different tiers of cashbacks in the workgroup. ,0.0,1.0,0.0,0.0
They expect people to transfer them money ,0.0,1.0,0.0,0.0
Decided to leave the group block them and make police report ,0.313,0.687,0.0,-0.4767
"****************Hi, I'm Sophia chien head of recruitment at ‘Ateam studios ltd’. ",0.0,1.0,0.0,0.0
Are you still looking for a job ,0.0,1.0,0.0,0.0
This job is done from home mainly promoting social celebrities while we get paid for them and you can also develop your own team to join us and your own team will need to be managed by you ,0.0,0.885,0.115,0.5719
Average monthly income 5000-8000sgd. ,0.0,1.0,0.0,0.0
We are a self-publishing company of course you need to understand to the content of this work in the middle may require you to study 1-3 days fulltime work your income will be higher part-time work income is relatively lowest 2: To open the telegram and add our receptionist @nana198903 please send my name Amanda recommend me here ,0.042,0.879,0.078,0.296
After you have done so sent me a screenshot ,0.0,1.0,0.0,0.0
******************** ,0.0,1.0,0.0,0.0
How it started a stranger messaged me on telegram if i was looking for a part time job ,0.0,1.0,0.0,0.0
Scammers offered me a job that required me to review airlines to make money ,0.0,1.0,0.0,0.0
They first offered a free trial to gain my trust i would imagine and had me rate some airlines ,0.0,0.583,0.417,0.875
It sounded like an easy job and I got some money from scammers which was a trick to make the job looked legitimate ,0.049,0.732,0.22,0.6369
I have pasted their explanation below ,0.0,1.0,0.0,0.0
Minxuan: Hi james ,0.0,1.0,0.0,0.0
Nice to hear from you ,0.0,0.588,0.412,0.4215
Let me briefly introduce you the job ,0.0,1.0,0.0,0.0
If you have any questions please feel free to ask right away ,0.0,0.641,0.359,0.6808
":) Aeroclass, is an online airline ticket rating system that does not require you to book a ticket ",0.0,0.842,0.158,0.4588
Its purpose is to help airline ratings contribute to the size of airline turnover and competitive strength in the market our job is mainly to help promote and advertise major airline reviews we just need to create data on the online airline rating system to help increase the visibility and turnover of airlines ,0.0,0.692,0.308,0.9517
They have a business account on whatsapp with the phone number 8925 7129. ,0.0,0.894,0.106,0.0772
Their website is https://app-212537.aerospaceserv.com/customerservice. ,0.0,1.0,0.0,0.0
do not fall for it pls). ,0.0,1.0,0.0,0.0
Please contact me if there are any questions ,0.0,0.753,0.247,0.3182
I didn't get scammed but wanna share my story as it was something similar to what was shared here ,0.0,0.731,0.269,0.7096
A lady texted me via WhatsApp then told me to contact their customer service via telegram ,0.0,1.0,0.0,0.0
then they added me into a telegram group ,0.0,1.0,0.0,0.0
IT WAS OK AT FIRST BUT THINGS GOT shady ,0.0,0.803,0.197,0.2421
SO I LEFT AND REPORTED it ,0.0,1.0,0.0,0.0
Here are the messages his I am nicole the head of recruitment ,0.0,1.0,0.0,0.0
Our company saw your resume here is a special job for you reply me to learn more about the job ,0.0,0.87,0.13,0.4019
Sorry for any interruptions ,0.667,0.333,0.0,-0.4588
i This is a social media hype job to increase the popularity of social media celebrities on TikTok. ,0.0,0.722,0.278,0.6597
Just follow our celebrities on TikTok and get paid for following and liking them ,0.0,0.828,0.172,0.4019
Daily Billing Pay Each follow or like is S$5 Online jobs Daily pay can be S$150 - S$360 ,0.145,0.725,0.13,0.1779
I first met this guy on cab before moving on to text on telegram ,0.0,1.0,0.0,0.0
I believed that he had a script well planned all along as everything was going smooth until he kept requesting for a voice call with me ,0.0,0.913,0.087,0.2732
Started talking about an ex-girlfriend of 4 years who left him because he was too busy with work ,0.0,1.0,0.0,0.0
He kept sweet talking to me daily for a week then on and kept finding excuses to push back meetups (eg. ,0.0,0.864,0.136,0.4588
Have other plans with friends company is sending him overseas for a project which well last for 2-3weeks). ,0.0,0.743,0.257,0.6369
He claimed to be working in a big gaming company in Singapore and seemed very knowledgeable about what the company does ,0.0,1.0,0.0,0.0
